IID	FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
C183	C183	0.0329818	-0.0182059	-0.0044581	-0.0679523	0.00329841	0.0587193	-0.00923812	-0.0413454
C184	C184	0.0323537	-0.015321	-0.00348793	-0.04207	0.00180283	0.0298763	0.0232353	-0.014663
C185	C185	-0.0593314	-0.00607023	0.0382636	-0.00252918	0.00807917	0.0020299	0.00293115	-0.00202738
C186	C186	-0.0570218	-0.0060977	0.0457642	-0.00248609	0.00165281	9.27583e-05	0.00501648	0.00395209
C187	C187	-0.0671455	-0.0122282	-0.0689615	0.00164594	0.0025779	0.00159074	0.00895163	0.004607
C188	C188	-0.067629	-0.0116793	-0.0688872	0.00109831	0.00631793	0.00152494	0.00790763	0.0046491
C189	C189	-0.067601	-0.0116803	-0.0619995	-7.77255e-05	-0.00587823	0.00550519	0.00089597	-0.00390165
C190	C190	0.0301056	-0.0163022	-0.00404573	-0.0492431	0.0039402	0.0345724	-0.0198096	-0.0328309
C191	C191	0.0302225	-0.0130597	0.000853641	-0.0358186	0.00320873	0.0332068	0.0219905	-0.0263725
C192	C192	0.0322337	-0.0137847	-0.00143457	-0.00711671	-0.00217954	0.0309441	0.0933052	0.055548
C193	C193	0.0329722	-0.0127199	-0.00325134	-0.0439237	0.00113908	0.0400357	-4.95575e-05	-0.0330679
C194	C194	0.029243	-0.0147699	-0.00318289	-0.0188005	0.0145685	0.0282665	0.0588697	0.0856051
C195	C195	-0.0647976	-0.0111606	-0.0628422	0.000773041	0.00694843	0.00347182	0.00472938	0.00243588
C196	C196	-0.0639747	-0.0105249	-0.0369205	0.000629772	-0.00954476	0.00625966	0.00132915	-0.00286114
C197	C197	0.0325888	-0.0191894	-0.00290888	-0.0674977	0.00565309	0.0763481	-0.0292703	-0.0506283
C198	C198	0.0283926	-0.00915287	-0.000390277	-0.0316969	0.000383929	0.0270021	0.0502894	-0.0472939
C199	C199	0.0230828	-0.0136383	-0.0025084	-0.0385824	-0.000877261	0.0197281	0.00792228	-0.0443322
C200	C200	0.0306529	-0.00465844	-0.00150225	-0.0456387	-0.00118883	0.0660906	0.048413	-0.0654915
C201	C201	0.0312208	-0.0150177	0.000452787	-0.0122087	0.000845672	0.0275165	0.082468	0.0766353
C202	C202	0.0329251	-0.0166197	-0.00379767	-0.0599463	0.00221575	0.056836	0.00264664	-0.0468637
C203	C203	0.0294481	-0.0202307	-0.00841727	-0.0544428	0.00497639	0.0475605	-0.0581119	-0.00724624
IRIS_313.10703	IRIS_313.10703	-0.0519607	-0.00168398	0.107511	-0.0076768	-0.0465885	0.00380508	0.00082244	0.0037004
IRIS_313.10758	IRIS_313.10758	-0.0529267	-0.0038113	0.101456	-0.0115225	-0.0116715	-0.000730025	-0.00591468	0.00100718
IRIS_313.10832	IRIS_313.10832	-0.0557145	-0.00367107	0.108046	-0.00349766	-0.0430515	0.00201924	-0.00443401	0.00798083
IRIS_313.10950	IRIS_313.10950	-0.0474826	-0.00234974	0.0955927	-0.00812699	0.00877946	0.00627504	0.00179957	-0.00317476
IRIS_313.11005	IRIS_313.11005	-0.0474797	-0.00233731	0.0955945	-0.00812924	0.00878541	0.00627343	0.00180971	-0.00317101
IRIS_313.11180	IRIS_313.11180	0.0276649	-0.011648	0.00431817	0.0319632	0.00727319	1.84838e-06	0.104656	0.0288069
IRIS_313.11278	IRIS_313.11278	0.0299628	-0.0112009	-0.00206406	-0.00857153	0.00271442	0.0120762	0.0669343	-0.0233444
IRIS_313.11299	IRIS_313.11299	0.0296877	-0.01071	-0.00046582	-0.00495555	-0.00268873	0.0248648	0.0810217	-0.0118225
IRIS_313.11388	IRIS_313.11388	0.0313169	-0.0130782	0.00182462	0.0330792	-0.00397761	0.0177728	0.0893392	0.0347857
IRIS_313.11391	IRIS_313.11391	0.0314106	-0.0131529	0.00240064	0.0176144	-0.00210886	0.0239453	0.0891845	0.0210001
IRIS_313.11403	IRIS_313.11403	0.0283692	-0.00786225	0.000309559	0.00462205	-0.00302626	0.0103833	0.0711711	-0.0110925
IRIS_313.11498	IRIS_313.11498	-0.0460728	-0.00355657	0.0828489	-0.00518688	0.00591805	0.00318073	0.00468831	-0.00931643
IRIS_313.11635	IRIS_313.11635	0.031515	-0.0121537	0.00285801	0.0221587	0.00196254	0.0202223	0.10194	0.0221344
